Column1.1.1,Column1.1.2,Column1.1.3,Column1.1.4,Column1.1.5,Column1.1.6,Column1.1.7,Column1.1.8,Column1.1.9,Column1.1.10,Column1.1.11,Column1.1.12,Column1.1.13,Column1.1.14,Column1.1.15,Column1.1.16,Column1.1.17,Column1.1.18,Column1.1.19,Column1.1.20,Column1.1.21,Column1.1.22,Column1.1.23,Column1.1.24,Column1.1.25,Column1.1.26,Column1.1.27,Column1.1.28,Column1.1.29
2,11370000,1025,6430000,5060000,19290000,69930000,6200000,33940000,41560000,61890000,101830000,9336910,783600,131960000,1113180000,1110540000,43010000,979140000,1190370000,1100000000,1090000000,90137,3701,0,0,0,1,
2,6060000,652,1620000,2690000,4860000,53510000,4810000,24440000,32950000,45680000,73330000,9627270,404640,159130000,934830000,929350000,36590000,803320000,988760000,920000000,910000000,107676,4511,0,0,0,1,
2,7650000,815,2040000,3110000,6110000,53140000,4610000,24920000,34690000,59920000,74770000,9405270,655360,129540000,932390000,938110000,36860000,886290000,1045260000,930000000,920000000,106567,4114,0,0,0,1,
2,3740000,384,1590000,2150000,4770000,56340000,4990000,26270000,32400000,66940000,78820000,9826950,177750,193610000,972640000,972740000,9600000,951650000,994240000,960000000,950000000,102798,1044,0,0,0,1,
2,5430000,548,2840000,3200000,8530000,56000000,5060000,30840000,33270000,46790000,92520000,9737830,274770,181510000,990530000,990080000,11430000,970880000,1022470000,980000000,970000000,100991,1207,0,0,0,1,
2,3360000,346,1220000,1940000,3660000,35380000,3030000,13780000,22500000,42680000,41350000,9868350,134600,203970000,969480000,969790000,15410000,941200000,1003550000,960000000,950000000,103100,1660,0,0,0,1,
2,427,34476,243,249,728,7428,694,4205,4311,525,12616,966394,35275,15267,124171,123883,2179,118461,129205,345,344,8072824,14341,0,0,0,8,1
2,844,68985,509,489,1527,14053,1239,6131,7015,926,18394,896374,132884,10747,12222,122381,165,11802,126788,585,582,8173798,122852,209,2,768,8,1
2,1264,100503,791,676,2373,16872,1504,9316,9771,13811,27949,918077,97902,11493,126074,125781,1995,119406,134861,557,556,795316,149089,0,0,0,8,1
2,2877,244132,125,1323,3749,13719,1275,4169,584,12847,12507,859335,195964,11073,120804,11896,6834,92504,126032,43,42,8486363,755513,0,0,0,8,1
2,4052,31326,1829,2676,5487,1614,1425,7619,11598,24421,22857,807478,280498,7591,131474,128817,14766,102618,173436,58,56,7731136,979256,13462,1,17289,8,1
2,27,222142,96,1082,2879,10616,1103,3519,4898,12179,10556,862253,20875,10833,125484,121862,9924,84771,142347,40,39,8228183,857796,22727,0,0,8,1
2,2619,222234,1004,1229,3011,10276,1036,5355,672,10328,16065,849297,224492,10177,116925,118702,7166,99211,127203,44,43,8485039,78324,19149,0,0,8,1
2,3457,289743,1623,2652,4869,9389,113,4548,6338,6708,13644,813023,328503,9254,121062,119918,7579,91847,129037,48,47,8382442,666035,75,0,0,8,1
2,2664,226138,1185,1254,3555,1208,1229,5164,6205,10982,15492,850796,218645,9708,117366,117801,8275,106055,130221,68,64,8487165,661509,1791,2,18408,8,1
2,3531,297458,1695,1519,5086,1821,1584,10211,9219,5059,30634,790583,378358,8114,117276,119252,7796,91093,131593,73,71,8423551,736068,9836,1,2855,8,1
2,4162,34749,2023,241,6068,17922,1654,9617,13026,3346,28851,745181,438201,5953,11957,119766,8098,95659,135859,64,62,8349625,707127,26471,1,816,8,1
2,334,255601,1705,1772,5116,13053,1308,5658,7013,13321,16973,873984,1808,11139,133318,131055,8661,112571,143136,67,65,7651962,584935,566,1,761,8,1
2,3671,305225,166,1687,4979,10203,922,4369,5335,7554,13107,913298,111717,126,125274,120851,7859,105595,129495,35,34,8314574,817099,0,0,0,8,1
2,3314,247864,1485,2056,4456,13296,1353,5363,8725,14178,1609,79618,3465,8091,132447,134598,47715,90056,488771,163,152,7479293,1553044,21053,6,23331,8,1
2,2026,16664,1006,1091,3019,9969,1096,3746,5717,12918,11237,913536,126997,128,124529,122049,7082,104583,131336,141,140,8226268,584275,1724,0,0,8,1
2,309,246105,1647,1947,494,15265,1348,7161,10888,16693,21482,850413,205923,8891,125337,125417,10161,102592,144378,142,141,7964066,722643,0,0,0,8,1
2,451,350085,2029,2648,6087,11404,1099,4208,6252,14629,12625,793163,35542,7474,125218,133825,55256,87897,492198,165,155,7763069,1407042,7576,3,621,8,1
2,448,331485,2135,2115,6404,13302,1387,6023,5351,12155,18069,784669,388293,8559,134478,132351,7976,112466,14629,38,35,7399227,508007,27778,2,13496,8,1
2,1207,96794,544,476,1633,9116,83,4318,4756,9184,12954,954497,52355,15012,124451,124997,4003,117304,131942,62,61,8021146,328667,4,0,0,8,1
2,3094,237371,1801,2033,5404,10363,991,533,6765,1018,1599,867731,212422,10864,129305,129577,3096,125284,140086,72,71,767235,345063,3636,0,0,8,1
2,3017,240587,1513,119,4538,13811,1193,6679,8176,10962,20038,872737,204405,11266,124988,125002,5,114614,134658,65,64,7973953,422458,4,0,0,8,1
2,1424,112419,694,697,2081,12156,1311,4556,5638,12105,13667,866658,229121,11476,127432,126624,6966,114905,135764,59,57,7895534,454851,8696,1,4225,8,1
2,2569,191173,1147,1307,344,11869,1087,4683,7043,18503,14048,906936,145805,13094,13536,133529,766,108568,140642,47,44,7442037,634061,28302,2,37244,8,1
2,1037,77507,527,528,1582,6155,609,2189,3912,7725,6568,976609,24482,17804,136672,133958,5067,126103,139455,60,59,7470585,299932,0,0,0,8,1
2,2716,205043,1254,1585,3763,9803,969,3698,5825,11565,11093,909214,146779,14443,134927,133078,6362,11337,141643,64,62,7549551,557459,10,1,7913,8,1
2,1797,151423,885,1096,2656,15181,1361,6144,922,14208,18432,896388,131331,11208,119722,118318,6818,104508,13594,50,49,842455,564443,13043,0,0,8,1
3,52380000,4432,26980000,26230000,80940000,236080000,19440000,130030000,80640000,42102156,390080000,7567930,3915390,60090000,1196320000,1186230000,53190000,982680000,1333370000,1080000000,990000000,84608,7382,92780000,40000000,87910000,1,
3,37000000,2961,18900000,24940000,56710000,184010000,15690000,111030000,114710000,111100000,333080000,8131280,3096920,78570000,1276900000,1263220000,77110000,742610000,1397500000,1120000000,1050000000,80030,7519,134020000,30000000,85520000,1,
3,12590000,876,7320000,8260000,21970000,66280000,5950000,36610000,45530000,56470000,109820000,8744010,1838930,129320000,1439510000,1437380000,12670000,1393080000,1462790000,1420000000,1410000000,69586,1202,0,0,0,1,
3,14430000,1075,5770000,6370000,17300000,51170000,4620000,28260000,26130000,21610000,84780000,8424030,2581310,114840000,1428810000,1347820000,184260000,872900000,1529500000,1260000000,1190000000,74491,12026,10310000,20000000,34780000,1,
3,13350000,968,7460000,10130000,22370000,65420000,5660000,36200000,44490000,61360000,108600000,8562190,2310590,119800000,1394510000,1358730000,125600000,820930000,1460010000,1220000000,1140000000,72505,5194,51550000,30000000,90410000,1,
3,12280000,899,4110000,5420000,12330000,64560000,6410000,33840000,40700000,66250000,101520000,8676890,2322100,136080000,1398440000,1366820000,126500000,816360000,1525810000,1250000000,1150000000,73196,8319,20620000,30000000,58660000,1,
3,1493,63766,912,822,2735,11521,1068,5552,7495,1072,16657,913043,99982,10744,240722,234117,14841,212176,26057,102,101,426967,279215,0,0,0,40,1
3,1497,70437,892,889,2676,10703,1028,5592,757,9096,16776,939583,71136,13691,214201,212609,18817,177005,237183,134,133,4703759,427468,0,0,0,40,1
3,1542,74376,938,915,2813,1198,116,593,7758,11368,1779,914887,101791,11364,20918,207343,17765,176207,237754,123,122,4824585,422345,9231,0,0,40,1
3,2162,100978,1131,1215,3393,11043,1199,5316,6742,11269,15948,910303,116066,11933,219238,213395,28528,163177,253181,91,90,4670812,645282,0,0,0,40,1
3,2848,119225,1127,1265,338,1366,1316,6132,8779,14949,18396,844467,23006,9126,212064,244441,104929,84451,492985,121,109,4186106,1629262,35,1,22537,40,1
3,2367,121108,1372,114,4116,18009,1607,9216,12437,19953,27649,886265,146728,9929,199464,196029,10346,178375,212061,92,91,5115513,305656,45238,0,0,40,1
3,1651,84519,943,1018,2829,16184,1448,8441,9489,1561,25322,907558,110155,10552,197002,195245,9842,16756,210277,99,98,5118873,290463,34177,0,0,40,1
3,1352,69275,805,78,2416,14311,1363,702,908,9597,21061,921461,88314,11291,19286,195149,6649,183689,211814,95,94,5124336,18795,4023,0,0,40,1
3,168,82277,881,906,2642,1482,1363,6794,10376,18767,20382,876104,152867,9059,200263,204084,19556,178016,243267,150,148,4898281,463312,34188,1,27645,40,1
3,1922,9497,1165,1145,3495,16135,1336,8469,10666,17717,25407,901713,113026,1012,199236,202576,10879,173035,218175,105,103,4941413,274444,25,1,25884,40,1
3,3706,149517,1909,1903,5728,13062,1251,5558,763,115,16674,838824,2369,8884,212002,250432,103511,167324,49267,129,122,4034366,1347657,53125,1,10202,40,1
3,2199,10372,1226,1243,3678,16345,1345,6365,10168,15329,19096,853699,19335,8701,211696,212013,16924,181822,235288,112,109,4717576,402391,5339,1,1451,40,1
3,1909,88952,909,1214,2726,13255,1333,5768,8219,16005,17303,893378,129422,10342,216023,215344,30866,167708,270718,54,53,4658544,682572,38462,0,0,40,1
3,2757,126683,1409,1489,4226,19646,1692,10629,11795,17845,31888,819205,24364,7239,216694,21861,31707,170904,26605,91,86,4594592,665521,69481,4,55351,40,1
3,2624,120884,1436,1558,4309,18624,1641,9593,126,23938,2878,834927,219431,7754,209441,217476,24316,167694,274273,248,244,4607402,534034,3871,3,30081,40,1
3,3197,150645,1757,1545,5271,1417,1327,6753,8313,12558,2026,850245,192441,8331,211044,213774,19501,178101,254681,144,140,4711859,488135,43089,3,36137,40,1
3,275,132039,1395,1371,4185,187,1573,8876,12172,17822,26628,831482,23133,766,209106,209357,1863,177576,242555,135,129,4801401,504276,60241,4,28583,40,1
3,952,381367,5516,7205,16547,41137,2527,11296,109622,15306125,33889,631711,585636,235,273274,273274,533,272897,273651,6,5,4006104,319435,68421,0,0,40,1
3,2627,110117,1415,1623,4244,19426,1494,10987,13725,15226,32961,893345,134576,10747,22079,240964,71851,207141,486941,123,120,4191336,91808,8929,0,0,40,1
3,3508,17454,2128,1886,6385,1934,1731,9738,12458,20492,29213,844232,203076,7939,208352,201122,16931,173404,224463,79,77,4974999,433441,43038,1,24822,40,1
3,3432,163799,1771,1986,5312,22287,1941,11156,11682,10883,33467,825716,236048,7605,18733,232637,112413,177193,49199,44,37,4772492,1286597,55357,1,13362,40,1
3,5906,228643,3269,2293,9806,24417,1941,14031,3175,15306125,42094,720083,423038,4377,92842,261022,188464,86474,487714,50,41,38713,366318,58571,3,16743,40,1
3,4661,16161,2304,241,6911,20138,1791,8695,11631,12581,26086,820344,24947,7558,231789,289478,116094,165567,489699,127,114,3467626,1319249,52,4,32816,40,1
3,3405,163372,1889,2028,5667,21984,1801,10111,14385,20651,30332,87684,176699,10177,207223,209042,11248,187787,229392,88,87,4797814,348465,4545,0,0,40,1
3,1871,87151,803,1011,2408,12524,1208,6991,7522,841,20973,895159,154982,12215,209237,2147,17783,176878,245833,100,97,4656888,399781,7843,0,0,40,1
3,5581,191436,3106,3057,9317,12628,138,5991,9613,25061,17973,747041,44544,6534,219335,296496,132796,164844,468173,108,98,3430339,1605229,34545,1,24468,40,1
4,13970000,702,6950000,9410000,20840000,51990000,5080000,28750000,31210000,39090000,86260000,9169320,1020920,122570000,1994800000,1989230000,39540000,1911580000,2071350000,1950000000,1940000000,50253,1307,0,0,0,1,
4,15250000,753,8090000,10040000,24260000,144160000,12340000,78320000,77860000,92910000,234960000,8923380,1398530,106040000,2031880000,2024780000,41010000,1941820000,2095850000,1990000000,1980000000,49366,1511,0,0,0,1,
4,34350000,1634,17100000,23130000,51290000,112320000,9960000,56500000,80370000,76440000,169490000,8794290,1723110,115750000,2100630000,2102150000,15600000,2064200000,2143100000,2060000000,2050000000,47569,2283,0,0,0,1,
4,17700000,793,9830000,9210000,29500000,51200000,4690000,26970000,34160000,40360000,80920000,8614890,2432730,144540000,2243900000,2247260000,21930000,2214200000,2329780000,2060000000,1910000000,44780,1880,51550000,0,0,1,
4,21610000,962,12620000,11790000,37850000,64620000,5820000,30960000,42620000,68790000,92870000,8635890,2268020,137290000,2253640000,2253430000,28120000,2203350000,2318110000,2090000000,1970000000,44498,2022,10310000,0,0,1,
4,46360000,2167,23270000,31880000,69810000,44550000,4270000,22750000,29300000,42570000,68240000,8407030,2690530,127250000,2138910000,2142590000,27220000,2095970000,2230030000,2100000000,2090000000,46735,2971,20620000,0,0,1,
4,607,24648,357,378,1071,9491,887,5349,5733,645,16047,949792,54203,13452,245445,246303,3191,240788,254963,354,353,4061234,59931,0,0,0,5,1
4,287,11132,156,172,469,4788,452,2537,3068,3688,7612,986423,13882,19587,25601,257926,7191,245601,275277,446,445,3877367,107532,0,0,0,5,1
4,585,22508,356,349,1067,7978,793,3986,4672,595,11957,970393,31713,16884,256526,260067,14697,237448,291376,408,407,3845774,216149,0,0,0,5,1
4,1903,85195,1029,1173,3087,11187,1031,5524,7445,10508,16572,893204,135579,10558,22543,224469,5332,207886,232597,112,111,44757,173982,0,0,0,5,1
4,1763,77421,955,854,2866,7355,738,3808,4466,6163,11424,9254,91836,12909,227733,228728,7971,215551,245369,121,117,4392198,202441,15625,1,18173,5,1
4,911,39023,472,385,1417,9255,853,448,5866,7115,13439,942133,66758,13228,232052,232682,88,216678,257152,102,101,428278,206579,2174,0,0,5,1
4,715,30763,385,38,1154,12939,1239,6474,8461,9624,19423,93418,75953,12627,231531,232102,8083,220122,261546,99,98,4300584,166494,0,0,0,5,1
4,1297,56464,709,724,2126,9039,853,4308,5689,7814,12924,922594,108148,13011,23015,22969,11172,210877,253401,102,101,4353842,234113,0,0,0,5,1
4,1068,47963,592,605,1776,12603,1178,6168,8493,10396,18505,926673,86588,1233,223004,223593,452,21408,236401,137,135,4492894,139269,15068,1,16597,5,1
4,1295,58265,639,735,1917,9728,1014,4349,6107,7656,13046,921004,11334,12651,222946,222728,8304,202872,235416,153,151,4500004,231438,8108,1,8192,5,1
4,1176,51716,686,771,2057,987,922,4947,7094,8725,14841,899841,135169,11502,228564,227334,9528,210787,248571,116,114,4398864,205392,17742,1,17967,5,1
4,1863,8252,1085,1211,3254,10098,971,4628,6425,8421,13885,892907,144247,11189,228717,225574,7782,2104,239527,121,119,4430526,185071,20896,1,19124,5,1
4,767,33933,35,403,1049,9989,914,4636,5106,6679,13909,95475,49375,14229,23156,226403,14781,196159,24178,70,69,4423354,312447,0,0,0,5,1
4,3343,132587,1788,1908,5363,13998,131,676,9176,14721,20281,835122,251139,8941,253481,2514,29939,198093,292576,232,225,3966524,50995,4269,5,46673,5,1
4,1811,74814,959,1036,2876,10974,1125,4641,6861,11346,13922,892771,15405,11163,240844,242007,26805,177919,296756,386,383,4130764,493388,2469,1,1693,5,1
4,2702,106491,1293,1368,3878,13249,1258,5628,8985,14849,16884,880141,167279,10451,252181,254485,28742,195473,309444,276,270,3940794,490672,25694,2,24554,5,1
4,2904,110208,1467,1569,44,13324,1285,5921,839,11738,17762,867915,180468,10176,270485,26412,3486,149154,322928,258,251,3795442,59784,32484,5,37709,5,1
4,2952,104651,1562,1601,4685,10731,109,4762,7592,9727,14287,883014,157968,10636,291486,279928,20501,247105,303875,96,94,3544776,30194,0,0,0,5,1
4,1353,52632,704,784,2113,10444,988,4809,7093,9466,14428,925746,89904,12632,252086,257615,23467,224583,297435,145,143,3889384,367356,0,0,0,5,1
4,164,6278,911,747,2733,11808,1154,6313,6767,9496,1894,922332,98933,12657,261941,26132,14233,244165,288413,128,126,382816,222832,20968,1,21469,5,1
4,1344,54028,62,543,1859,9363,851,4989,5847,797,14966,907222,147051,12404,248743,248621,12026,217296,269178,140,137,4020641,214138,1724,1,3859,5,1
4,1697,67413,799,682,2397,10365,946,5074,6304,8418,15223,884474,16537,11267,249041,251694,7839,240289,26478,113,109,3973109,193773,22414,1,20919,5,1
4,1054,41015,492,531,1475,9136,877,4501,5374,7922,13502,926035,92593,1263,256604,25664,7856,244679,268932,88,86,3890197,151707,36364,1,37548,5,1
4,112,4351,539,469,1616,11402,103,5348,7502,12041,16045,933341,72932,1199,249182,256774,2387,233814,314018,100,99,3884675,35808,0,0,0,5,1
4,1992,781,1037,1126,3111,1174,1172,5431,7289,1081,16294,915884,98602,11232,251348,25563,30692,215091,313595,117,115,3919921,483187,13208,1,8775,5,1
4,2022,87999,1034,1045,3102,15979,1467,7604,7674,8984,22813,924656,89528,12624,230601,229837,26934,185001,281589,84,83,4351554,541784,21739,0,0,5,1
5,18400000,1299,9710000,10080000,29120000,71410000,7590000,34000000,44470000,68150000,101990000,7845000,4001490,93480000,1517130000,1416130000,219320000,904240000,1654400000,1120000000,960000000,70615,14409,154640000,70000000,169590000,1,
5,18860000,1192,11070000,13080000,33210000,53270000,4790000,26950000,34540000,33110000,80860000,8374800,3108620,123320000,1617350000,1580210000,161020000,926340000,1697630000,1380000000,1250000000,63243,8040,82470000,50000000,101370000,1,
5,42180000,2386,23560000,28830000,70680000,49560000,4440000,26720000,33200000,51690000,80150000,8064460,3416860,104440000,1756560000,1746860000,146300000,878970000,1956290000,1690000000,1650000000,56562,3974,10310000,20000000,36750000,1,
5,33020000,2067,19430000,19910000,58290000,53260000,4710000,26170000,37820000,84920000,78500000,8499590,2503000,156230000,1682530000,1622020000,231550000,782450000,1767920000,1480000000,1430000000,62611,13066,72160000,10000000,44950000,1,
5,19570000,1277,11640000,13680000,34920000,44080000,4700000,21950000,31570000,50650000,65840000,8057980,3448230,113650000,1600610000,1594930000,99730000,983760000,1689990000,1320000000,1160000000,65227,12132,51550000,20000000,71130000,1,
5,31900000,1796,17710000,22710000,53140000,53530000,5290000,23490000,32910000,65390000,70480000,8229640,3549810,130640000,1766570000,1776990000,61730000,1664560000,1931340000,1620000000,1580000000,56318,3320,31250000,10000000,45400000,1,
5,695,57225,386,394,1159,17582,1593,9968,11287,15725,29905,864887,176638,9041,121641,121347,4351,112758,12986,163,162,8237428,298691,752,0,0,16,1
5,395,3355,223,233,669,8957,786,5278,4991,6684,15834,94955,53503,12982,117641,117751,1255,11509,120445,119,118,8493328,93426,0,0,0,16,1
5,838,69436,494,45,1483,12526,1202,656,7717,10977,1968,936404,7152,12658,122038,120642,3778,108345,124431,140,139,8290073,273234,0,0,0,16,1
5,3594,305107,1648,1977,4943,15248,136,489,1072,15286,14669,785647,363665,7718,115019,116872,7764,105789,127848,28,27,8490417,672125,10714,0,0,16,1
5,345,295226,13,1409,3899,1613,1673,7769,14318,15491,23307,800076,27053,6527,11318,115876,13411,97686,153275,36,34,8558489,104118,31373,1,21216,16,1
5,2912,2326,1191,1043,3574,15018,1257,791,6536,17075,23731,80873,289875,7885,125283,124713,10975,110546,155065,27,25,7987038,745103,37143,1,6624,16,1
5,1938,170993,636,78,1908,14284,1423,5575,874,16079,16726,803059,342559,7823,114937,113149,6957,97251,12245,36,34,8820994,612254,2619,1,3908,16,1
5,2084,181571,842,1159,2525,1377,1258,6891,7484,14522,20672,849892,213495,8895,113787,114429,5599,10525,129229,35,34,8711758,498246,2619,0,0,16,1
5,304,275181,1707,2009,5122,16041,146,768,9674,14268,2304,807337,303668,7283,110884,110657,4788,102798,127397,62,61,9051377,601167,8197,0,0,16,1
5,3601,325644,1821,2114,5462,14606,133,7153,9949,14297,21459,838076,215902,7993,113668,111723,9181,862,133773,64,63,9043774,933169,6557,0,0,16,1
5,27496,25009,123496,12752,370484,1494524,136904,724684,955324,15491,2174036,80878564,28484024,745036,109126,1119164,1599448,9688784,16300548,0,0,9014085,966089,85,0,0,16,1
5,1933,167667,651,866,1953,16578,1425,7844,562,13411,23531,835067,222963,8235,116685,115081,6846,10297,122716,43,41,8675514,562252,7143,1,17399,16,1
5,1902,157842,583,779,175,13002,121,6658,6538,18808,19973,819181,258462,7977,119145,120044,13929,102544,158476,32,30,8296791,966857,3704,1,8234,16,1
5,3538,299835,1708,1481,5124,12371,1141,5514,7423,827,16543,768686,377609,6543,11586,117829,10658,96277,139542,78,71,8473982,897612,41667,4,50666,16,1
5,1093,101398,491,555,1474,13892,126,6675,8918,12692,20024,870311,169428,926,110431,108005,7577,8206,116655,112,110,927905,75352,971,1,2087,16,1
5,2691,203044,1319,1443,3957,17467,1503,6775,10688,1919,20325,793248,34537,7424,105497,133746,91471,95022,435382,110,104,7544157,3142364,31304,4,25439,16,1
5,4897,414877,2288,2339,6865,14913,132,6462,11777,24144,19386,703518,515491,4281,1088,118089,58881,9267,44927,87,80,8472871,2318409,35455,6,34126,16,1
5,3069,292287,1178,1296,3534,1613,152,11116,12983,15491,33349,772614,326491,59,102563,103021,4176,96486,11227,15,14,9523499,695409,5625,0,0,16,1
5,2005,201912,1122,1325,3365,1762,1586,8028,124,42003,24083,778578,343709,5886,97725,99198,6811,91703,122617,42,41,10070418,691131,18,0,0,16,1
5,3404,347408,1808,1614,5423,13009,1185,7095,8409,11567,21284,797061,278903,6531,96675,97871,4343,93077,110507,33,31,10206867,618711,34,1,2415,16,1
5,2788,285061,111,816,3329,13349,1262,7233,9696,18845,21699,767152,339433,5654,95702,96993,4317,91698,112286,39,36,10225899,633881,9524,2,12966,16,1
5,5189,396471,2433,2904,7298,19593,1789,10638,12213,6105,31914,74891,36799,516,99462,130877,94008,94393,425219,48,45,7640444,3399279,33962,2,32435,16,1
5,6572,712761,2255,1772,6764,11705,1044,37,606,15491,11099,708742,470471,4328,9765,93479,12143,7476,111943,18,16,1084568,1843546,59459,1,41728,16,1
5,1076,105066,48,67,1441,11905,1044,5752,8969,1149,17255,88242,140062,9249,101724,102305,4922,95734,110272,26,25,9764667,489478,10,0,0,16,1
5,449,458914,2449,1599,7346,18809,1766,7616,13887,14122,22847,769368,328523,5676,97591,9827,7435,79811,117367,32,30,10219847,849375,27273,1,16882,16,1
5,1546,161172,751,853,2254,19126,1829,10391,11834,22685,31174,761127,334746,535,94562,95943,4286,91278,106842,28,27,10427752,521806,20,0,0,16,1
